Provinsi,Kabupaten/Kota,Indeks Ketahanan Pangan (IKP),,,,Kriteria Kerentanan Pangan,,,,Produktivitas Padi (ku/ha) (Ku/ha),,,,Luas Panen Padi (ku/ha) (Ku/ha),,,,Indeks Pembangunan Manusia,,,,Rata-Rata Lama Sekolah,,,,Indeks Pembangunan Gender,,,,Angka Partisipasi Murni SD,,,,Angka Partisipasi Murni SMP,,,,Persentase Akses Sanitasi Layak,,,,Angka Harapan Hidup,,,,Indeks Kesehatan,,,,Akses ke Sarana Kesehatan,,,,Asuransi Jaminan Kesehatan BPJS,,,
,Kepulauan Sula,50.64,53.28,51.76,50.09,2,3,2,2,39.69,32.55,34.91,36.59,4.00,4.11,49.01,21.00,66.90,67.49,68.19,68.89,9.02,9.04,9.17,9.20,92.90,93.05,93.36,93.58,,,,,,,,,82.09,82.58,83.72,,68.29,68.54,68.80,69.19,0.74,0.75,0.75,0.76,,,54,58,28.33,36.26,,
,Halmahera Selatan,53.42,52.40,52.69,54.91,3,3,3,3,31.34,32.31,29.72,35.21,39.00,121.77,62.9,77.00,66.78,67.55,68.43,69.05,8.16,8.17,8.42,8.43,87.48,87.64,87.84,87.92,,,,,,,,,71.00,74.79,77.43,,69.97,70.25,70.54,70.98,0.77,0.77,0.78,0.78,,,81,83,17.72,17.68,,
,Halmahera Utara,63.43,81.20,62.34,61.81,4,6,4,4,37.10,38.68,43.17,41.62,1.86,1094.98,1767.79,1115.00,69.13,69.79,70.52,71.25,8.63,8.65,8.67,8.84,89.71,90.08,90.31,90.91,,,,,,,,,68.63,69.58,70.19,,71.53,71.74,71.95,72.30,0.79,0.80,0.80,0.80,,,82,85,57.79,46.87,,
,Halmahera Timur,72.38,76.12,79.63,67.31,5,6,4,4,38.52,33.38,29.40,30.30,3.97,5574.43,5970.88,3845.00,68.62,69.48,70.35,71.11,8.52,8.66,8.88,9.07,82.13,82.62,82.73,83.04,,,,,,,,,81.77,81.64,82.26,,71.03,71.36,71.70,72.04,0.79,0.79,0.80,0.80,,,53,51,66.36,82.59,,
,Pulau Morotai,59.62,53.70,60.71,63.34,4,3,4,4,40.26,38.45,40.13,38.04,457.00,609.03,974.18,1158.00,64.99,65.93,66.91,67.86,7.42,7.55,7.73,7.91,70.84,71.59,72.63,72.97,,,,,,,,,71.38,68.52,70.06,,70.46,70.81,71.16,71.63,0.78,0.78,0.79,0.79,,,69,70,84.66,89.59,,
,Pulau Taliabu,44.39,47.87,48.28,49.69,2,2,2,2,-,-,-,-,-,–,–,–,63.65,64.31,64.88,65.61,7.94,7.97,7.99,8.15,83.96,84.69,85.11,85.34,,,,,,,,,68.24,65.91,67.09,,66.83,67.04,67.25,67.52,0.72,0.72,0.73,0.73,,,41,38,16.38,21.22,,
,Kota Ternate,81.32,89.51,88.24,64.26,6,6,4,4,-,-,-,-,-,–,–,–,81.28,81.79,82.59,83.01,12.06,12.07,12.08,12.09,92.34,92.40,92.28,92.79,,,,,,,,,95.92,98.29,98.53,,72.28,72.55,72.87,73.36,0.80,0.81,0.81,0.82,,,60,59,55.22,69.33,,
,Kota Tidore Kepulauan,55.94,65.83,64.68,56.22,4,5,3,3,-,-,36.48,46.00,-,9.42,0.85,18.00,72.57,73.40,74.01,74.63,9.96,9.97,10.12,10.18,96.14,96.40,96.68,97.01,,,,,,,,,89.58,91.77,92.16,,71.91,72.20,72.52,73.00,0.80,0.80,0.81,0.82,,,62,62,62.09,64.74,,
Papua Barat,Fakfak,46.63,47.32,48.20,52.87,2,2,2,2,35.69,41.77,42.71,49.38,13.72,10.83,10.6,36.00,70.26,70.85,71.52,72.00,9.08,9.17,9.32,9.35,83.55,83.90,84.45,85.37,,,,,,,,,69.18,73.42,75.07,,71.22,71.44,71.57,71.78,0.79,0.79,0.79,0.80,,,74,61,,,,
,Kaimana,45.43,47.12,48.19,66.38,2,2,4,4,-,-,-,-,–,–,–,–,67.72,68.31,69.20,69.70,8.74,8.80,8.97,9.02,83.95,84.41,84.99,85.41,,,,,,,,,76.48,75.57,80.64,,68.65,68.96,69.20,69.54,0.75,0.75,0.76,0.76,,,76,77,,,,
,Teluk Wondama,31.95,32.93,36.76,51.06,1,1,2,2,-,43.46,40.87,50.05,–,15.24,15.24,31.00,63.02,63.84,64.52,65.26,7.20,7.27,7.38,7.56,79.72,79.91,80.55,80.98,,,,,,,,,53.00,54.53,61.17,,65.03,65.32,65.50,65.74,0.69,0.70,0.70,0.70,,,55,56,,,,
,Teluk Bintuni,39.37,40.88,43.12,53.61,1,1,3,3,38.13,35.17,38.39,51.23,110.74,187.41,221.5,123.00,68.29,69.01,69.79,70.32,8.35,8.51,8.67,8.77,86.57,86.77,86.87,87.09,,,,,,,,,78.56,75.52,75.77,,67.38,67.75,68.05,68.49,0.73,0.73,0.74,0.75,,,78,80,,,,
,Manokwari,67.41,66.85,71.81,67.43,4,4,4,4,44.80,42.66,38.25,45.73,3469.89,3849.83,3779.95,1652.00,73.92,74.52,75.15,75.96,8.45,8.54,8.67,8.89,84.39,84.93,85.36,85.67,,,,,,,,,82.58,86.54,89.13,,71.91,72.25,72.51,72.90,0.80,0.80,0.81,0.81,,,62,63,,,,
,Manokwari Selatan,69.46,67.12,74.91,59.85,5,4,3,3,50.25,56.98,48.57,59.04,980.70,942.96,1093.84,822.00,60.68,61.55,62.45,63.24,6.90,6.96,7.17,7.33,65.65,66.82,67.89,69.89,,,,,,,,,88.42,91.03,91.74,,67.84,68.09,68.26,68.53,0.74,0.74,0.74,0.75,,,19,16,,,,
,Pegunungan Arfak,69.46,32.87,35.53,33.09,1,1,1,1,-,-,-,-,–,–,–,–,57.01,57.82,58.71,59.53,5.34,5.51,5.72,5.84,77.73,78.94,79.99,81.11,,,,,,,,,34.98,30.98,49.90,,67.50,67.71,67.79,67.92,0.73,0.73,0.74,0.74,,,18,17,,,,
Papua Barat Daya,Raja Ampat,44.60,44.12,54.42,57.75,2,2,3,3,-,41.73,28.75,26.32,-,215.86,181.79,171.00,65.41,66.00,66.60,67.36,7.19,7.32,7.44,-,78.44,79.02,79.47,-,,,,,,,,,56.57,60.39,65.37,,66.73,66.98,67.12,67.32,-,-,0.72,0.73,,,,,,,,
,Sorong,43.19,46.99,50.88,55.22,2,2,3,3,-,40.96,26.37,27.23,-,313.25,131.36,137.00,68.10,68.89,64.54,70.60,7.58,7.62,7.76,-,86.55,83.55,84.07,-,,,,,,,,,87.93,91.12,86.48,,69.57,69.88,70.08,70.38,-,-,0.77,0.78,,,,,,,,
,Sorong Selatan,37.75,48.46,40.39,46.19,1,2,2,2,-,41.97,23.58,29.43,-,50.72,50.72,2.00,63.13,63.98,69.69,65.45,8.52,8.61,8.74,-,82.99,86.88,86.95,-,,,,,,,,,33.74,38.09,43.19,,66.83,67.11,67.23,67.40,-,-,0.73,0.73,,,,,,,,
,Maybrat,39.33,41.60,41.27,48.58,1,2,2,2,-,-,-,-,-,–,–,-,60.49,61.29,61.83,62.68,11.32,11.50,11.57,-,78.45,92.18,92.29,-,,,,,,,,,68.23,63.68,67.29,,65.53,65.82,65.97,66.21,-,-,0.71,0.71,,,,,,,,
,Tambrauw,29.26,32.88,45.92,44.22,1,1,1,1,-,-,-,-,-,–,–,-,56.62,57.53,58.31,59.28,5.64,5.71,5.89,-,69.38,70.35,71.39,-,,,,,,,,,83.29,76.12,85.56,,65.29,65.70,65.89,66.17,-,-,0.71,0.71,,,,,,,,
,Kota Sorong,67.72,74.18,76.32,62.60,-,6,4,4,-,-,-,-,-,–,–,-,79.47,80.11,80.55,81.03,8.16,8.24,8.40,-,91.86,79.08,79.65,-,,,,,,,,,77.83,83.56,83.69,,72.37,72.83,73.19,73.66,-,-,0.82,0.83,,,,,,,,
Papua Selatan,Merauke,80.10,83.08,84.07,65.56,6,1,4,4,-,40.98,46.17,45.64,-,44807.86,47162.09,79428.00,73.06,74.00,74.53,75.11,9.04,9.25,9.37,-,89.53,89.68,89.90,-,,,,,,,,,72.86,81.96,82.05,,71.03,71.27,71.41,71.65,0.79,0.79,-,0.79,,,181,,,,,
,Boven Digoel,38.87,40.55,43.19,46.51,1,1,2,2,-,-,39.31,44.55,-,–,6.48,-,66.33,67.32,68.16,68.62,9.03,9.25,9.42,-,80.25,80.75,81.07,-,,,,,,,,,62.93,70.08,73.45,,68.53,68.90,69.17,69.63,0.75,0.75,0.76,0.76,,,52,,,,,
,Mappi,33.82,47.85,35.44,42.36,1,2,1,1,-,-,-,43.94,-,–,–,6.00,59.75,60.71,61.66,62.60,6.78,6.95,7.16,-,84.93,85.18,85.93,-,,,,,,,,,33.47,37.27,39.08,,65.98,66.23,66.34,66.49,0.71,0.71,0.71,0.72,,,64,,,,,
,Asmat,38.98,36.69,45.99,46.17,1,1,2,2,-,-,-,-,-,–,–,-,55.80,56.85,57.63,58.55,5.36,5.58,5.82,-,55.66,56.26,58.32,-,,,,,,,,,29.48,20.46,20.32,,67.46,67.84,68.05,68.31,0.73,0.74,0.74,0.74,,,88,,,,,
Papua Pegunungan,Nduga,15.66,17.63,17.10,19.93,1,1,1,1,-,...,...,...,-,–,–,-,36.51,37.68,36.30,40.35,1.58,1.71,1.92,-,89.90,90.53,91.34,-,,,,,,,,,5.35,6.50,5.09,,63.84,63.88,63.90,63.94,-,-,0.68,0.68,,,,29,,,,
,Jayawijaya,25.00,27.68,30.40,42.51,1,1,1,1,-,43.59,43.87,43.99,-,14.14,9.66,79.00,63.85,64.81,61.03,66.02,5.74,5.98,5.99,-,85.55,86.14,86.41,-,,,,,,,,,26.82,29.07,33.50,,69.49,69.79,69.98,70.37,-,-,0.77,0.77,,,,65,,,,
,Lanny Jaya,19.18,21.60,21.33,31.51,1,1,1,1,-,...,...,...,-,–,–,-,49.87,50.81,51.59,52.47,3.59,3.71,3.83,-,93.93,94.17,94.47,-,,,,,,,,,0.73,1.60,3.07,,67.02,67.19,67.29,67.43,-,-,0.73,0.73,,,,21,,,,
,Tolikara,23.28,23.00,22.83,31.11,1,1,1,1,-,...,...,...,-,–,–,-,50.77,51.74,52.05,52.71,3.67,3.68,3.69,-,61.82,62.46,63.80,-,,,,,,,,,2.13,1.68,2.08,,66.81,67.03,67.22,67.52,-,-,0.73,0.73,,,,52,,,,
,Mamberamo Tengah,18.14,20.06,21.51,26.40,1,1,1,1,-,...,...,...,-,–,–,-,50.96,51.98,50.72,53.36,3.48,3.63,3.70,-,89.62,89.34,90.38,-,,,,,,,,,1.55,1.10,4.23,,68.81,68.93,68.99,69.09,-,-,0.75,0.76,,,,23,,,,
,Yalimo,22.37,23.95,37.80,37.42,1,1,1,1,-,...,...,...,-,–,–,-,49.90,50.87,51.85,52.63,3.19,3.34,3.55,-,85.30,85.96,86.44,-,,,,,,,,,0.60,0.50,31.40,,65.72,65.95,66.12,66.53,-,-,0.71,0.72,,,,23,,,,
,Yahukimo,22.31,21.95,25.62,27.41,1,1,1,1,-,...,...,...,-,–,–,-,50.25,51.19,51.98,52.48,4.28,4.34,4.35,-,74.56,75.56,76.69,-,,,,,,,,,11.99,12.15,7.36,,66.31,66.42,66.51,66.68,-,-,0.72,0.72,,,,145,,,,
,Pegunungan Bintang,24.10,51.99,25.07,33.28,1,3,1,1,-,...,...,...,-,–,–,-,47.54,48.51,49.36,50.56,3.23,3.37,3.51,-,81.77,81.97,83.03,-,,,,,,,,,28.26,21.05,12.38,,65.74,65.93,66.10,66.50,-,-,0.71,0.72,,,49,43,,,,
Papua Tengah,Mimika,80.55,81.83,83.64,62.88,6,6,4,4,-,0.00,30.16,37.22,-,0,4.33,35.07,75.08,75.91,76.85,77.27,10.20,10.47,10.72,-,77.50,77.79,78.43,-,,,,,,,,,80.46,77.34,86.27,,72.57,72.83,73.06,73.45,-,-,0.82,0.82,,,,,,,,
,Dogiyai,22.93,31.23,31.37,36.33,1,1,1,1,-,-,-,-,-,–,–,-,55.77,56.74,57.68,57.96,4.96,4.97,4.98,-,81.11,81.54,82.20,-,,,,,,,,,10.57,26.35,17.89,,66.25,66.49,66.59,66.75,-,-,0.72,0.72,,,,,,,,
,Deiyai,24.70,21.93,21.35,28.96,1,1,1,1,-,-,-,-,-,–,–,-,50.64,51.40,52.07,52.81,3.26,3.27,3.29,-,70.69,70.98,72.07,-,,,,,,,,,67.47,37.50,26.48,,66.27,66.52,66.66,66.84,-,-,0.72,0.72,,,,,,,,
,Nabire,69.19,78.07,66.97,59.00,5,6,3,3,-,44.24,42.32,38.18,-,2094,1431.79,964.15,70.46,71.36,71.77,72.89,10.16,10.33,10.42,-,90.86,91.20,91.42,-,,,,,,,,,85.51,88.60,93.23,,69.55,69.82,70.06,70.50,-,-,0.77,0.78,,,,,,,,
,Paniai,27.91,21.52,22.27,27.27,1,1,1,1,-,-,-,-,-,–,–,-,58.05,58.83,58.69,60.04,4.78,4.79,4.81,-,68.59,69.29,70.39,-,,,,,,,,,32.07,40.63,31.71,,69.21,69.49,69.64,69.84,-,-,0.76,0.77,,,,,,,,
,Intan Jaya,17.21,14.54,14.14,27.34,1,1,1,1,-,-,-,-,-,–,–,-,49.45,50.39,50.71,51.56,3.26,3.27,3.28,-,72.78,73.29,73.69,-,,,,,,,,,8.84,10.76,23.54,,66.50,66.68,66.74,66.85,-,-,0.72,0.72,,,,,,,,
,Puncak,18.27,20.10,30.12,23.75,1,1,1,1,-,-,-,-,-,–,–,-,43.99,44.71,45.60,45.95,2.17,2.19,2.39,-,85.08,85.63,86.98,-,,,,,,,,,11.51,1.84,-,,66.53,66.77,66.82,66.94,-,-,0.72,0.72,,,,,,,,
,Puncak Jaya,19.34,25.14,24.19,39.99,1,1,1,1,-,-,-,-,-,–,–,-,50.50,51.49,51.78,53.18,4.03,4.23,4.42,-,66.94,67.93,69.72,-,,,,,,,,,12.42,8.99,9.64,,67.51,67.77,67.91,68.16,-,-,0.74,0.74,,,,,,,,
Papua,Jayapura,70.62,72.14,66.89,64.83,5,5,4,4,27.82,46.13,43.81,45.57,501.41,470.64,630.72,283.00,73.92,74.74,74.11,76.14,10.27,10.32,10.57,10.77,91.43,91.60,91.63,92.01,,,,,,,,,66.82,74.28,70.53,,69.94,70.23,70.48,70.82,0.77,0.77,0.78,0.78,,,100,111,,,,
,Kepulauan Yapen,44.82,69.70,46.80,52.41,2,5,2,2,-,...,40.96,37.99,–,–,2.14,4.00,68.94,69.62,69.65,70.93,9.69,9.70,9.71,9.80,90.05,89.90,90.00,90.41,,,,,,,,,56.73,69.21,57.14,,70.55,70.72,70.85,71.05,0.78,0.78,0.78,0.79,,,112,102,,,,
,Biak Numfor,48.16,49.81,49.23,49.60,2,2,2,2,-,...,...,43.32,–,–,–,-,73.87,74.45,73.98,75.48,10.53,10.54,10.55,10.69,90.58,90.97,91.32,91.45,,,,,,,,,82.11,90.62,93.89,,70.56,70.75,70.92,71.21,0.78,0.78,0.78,0.79,,,83,86,,,,
,Sarmi,57.07,61.25,63.07,58.49,3,4,3,3,36.62,43.50,42.52,39.75,15.76,18.56,25.04,14.00,66.09,67.00,66.72,68.78,9.15,9.36,9.61,9.79,83.44,83.76,84.34,84.83,,,,,,,,,63.62,76.48,88.45,,69.44,69.68,69.91,70.25,0.76,0.76,0.77,0.77,,,23,41,,,,
,Keerom,61.22,71.92,54.21,56.32,4,5,3,3,38.46,38.60,39.68,39.12,32.45,36.34,104.96,86.00,68.37,69.25,68.68,70.43,8.31,8.57,8.58,8.78,87.37,87.96,88.16,88.66,,,,,,,,,69.41,78.65,81.99,,69.47,69.73,69.95,70.29,0.76,0.77,0.77,0.77,,,46,51,,,,
,Waropen,44.89,61.63,47.38,45.34,2,4,1,1,38.55,39.77,30.29,30.90,9.78,25.08,75.52,22.00,66.88,67.67,66.92,68.91,9.40,9.41,9.42,9.43,71.00,71.56,72.34,72.99,,,,,,,,,83.29,76.29,78.31,,69.32,69.54,69.72,69.94,0.76,0.76,0.76,0.77,,,35,35,,,,
,Supiori,29.87,30.41,32.69,46.13,1,1,2,2,-,...,39.31,...,–,–,6.21,-,64.88,65.84,65.15,67.30,9.09,9.20,9.21,9.39,77.93,78.33,78.89,79.31,,,,,,,,,73.29,73.86,79.06,,69.10,69.37,69.62,70.00,0.76,0.76,0.76,0.77,,,36,38,,,,
,Mamberamo Raya,22.96,22.51,23.09,46.97,1,1,2,2,-,...,...,...,–,–,–,-,57.43,58.49,55.00,60.48,6.12,6.28,6.49,6.74,83.36,83.77,83.97,84.27,,,,,,,,,44.63,49.88,43. 19,,68.45,68.75,68.95,69.21,0.75,0.75,0.75,0.76,,,45,26,,,,
,Kota Jayapura,74.64,74.18,78.35,61.21,-,6,3,3,37.31,43.81,47.41,39.96,337.82,289.56,223.98,24.00,81.02,81.51,81.67,82.26,11.74,11.84,12.07,12.08,94.74,94.76,94.78,95.06,,,,,,,,,78.29,85.33,88.12,,71.53,71.76,71.99,72.34,0.79,0.80,0.80,0.81,,,72,73,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Keterangan :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1 : sangat rentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2 : rentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3 : agak rentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4 : agak tahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5 : tahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6 : sangat tahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
